"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","AT","Austria",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","BG","Bulgaria",19.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","CY","Cyprus",11.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","DE","Germany",5.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","DK","Denmark",5.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","EL","Greece",896.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","ES","Spain",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","FI","Finland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","FR","France",11.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","HU","Hungary",164.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","IT","Italy",168.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","MT","Malta",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","NL","Netherlands",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","NO","Norway",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","PL","Poland",76.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","PT","Portugal",108.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","RO","Romania",27.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","SI","Slovenia",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2012","UK","United Kingdom",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","AT","Austria",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","BG","Bulgaria",34.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","CY","Cyprus",20.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","CZ","Czechia",4.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","DE","Germany",9.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","DK","Denmark",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","EL","Greece",644.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","ES","Spain",47.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","FI","Finland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","FR","France",16.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","HR","Croatia",87.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Combined resistance (fluoroquinolones, aminoglycosides and carbapenems)","R - resistant isolates","N","2013","HU","Hungary",199.000000000,""
