"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","AT","Austria",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","DE","Germany",18.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","EL","Greece",3.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","ES","Spain",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","FI","Finland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","IT","Italy",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","NL","Netherlands",73.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","NO","Norway",69.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2000","SE","Sweden",0.000000000,""
