"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","AT","Austria",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","DE","Germany",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","EL","Greece",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","ES","Spain",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","FI","Finland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","IT","Italy",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","NL","Netherlands",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","NO","Norway",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2000","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","AT","Austria",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","BG","Bulgaria",1.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","CZ","Czechia",5.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","DE","Germany",3.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","EL","Greece",8.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","ES","Spain",3.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","FI","Finland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","FR","France",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2001","HR","Croatia",0.000000000,""
