HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,AT,Austria,5.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,BE,Belgium,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,BG,Bulgaria,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,CY,Cyprus,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,CZ,Czechia,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,DE,Germany,53.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,DK,Denmark,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,EE,Estonia,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,EL,Greece,24.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,ES,Spain,4.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,FI,Finland,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,FR,France,129.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,HR,Croatia,3.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,HU,Hungary,30.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,IE,Ireland,1.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,IS,Iceland,1.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,IT,Italy,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,LU,Luxembourg,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,LV,Latvia,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,MT,Malta,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,NL,Netherlands,15.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,NO,Norway,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,PL,Poland,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,PT,Portugal,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,RO,Romania,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,SE,Sweden,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,SI,Slovenia,2.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,SK,Slovakia,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2005,UK,United Kingdom,7.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,AT,Austria,7.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,BE,Belgium,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,BG,Bulgaria,1.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,CY,Cyprus,1.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,CZ,Czechia,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,DE,Germany,77.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,DK,Denmark,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,EE,Estonia,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,EL,Greece,31.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,ES,Spain,31.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,FI,Finland,0.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,FR,France,171.000000000,
Antimicrobial resistance,Pseudomonas aeruginosa|Aminoglycosides,"I - 'susceptible, increased exposure' isolates ",N,2006,HR,Croatia,3.000000000,
